Task,AMP,AMPGRU,AWAC,AWACGRU,CoL,CoLGRU,DDPG,DDPGBC,DDPGBCGRU,DDPGGRU,DEX,DEXGRU,SAC,SACGRU,SQIL,SQILGRU
BiPegTransfer-v0,-50.0,-50.0,-49.980000000000004,-50.0,-50.0,-50.0,-49.97,-49.839999999999996,-49.660000000000004,-49.760000000000005,-49.27,-50.0,-50.0,-50.0,-50.0,-50.0
BiPegTransferMem-v0,Nil,-50.0,Nil,-49.87,Nil,-50.0,Nil,Nil,-50.0,-50.0,Nil,-49.22,Nil,-50.0,-50.0,Nil
ECMReach-v0,-4.8,-4.94,-27.270000000000003,-28.409999999999997,-5.459999999999999,-5.45,-4.75,-4.75,-5.07,-4.77,-8.580000000000002,-4.91,-4.639999999999999,-4.65,-44.32,-43.61
ECMReachMem-v0,Nil,-5.010000000000001,Nil,-26.79,Nil,-5.26,Nil,Nil,-4.83,-4.75,Nil,-4.880000000000001,Nil,-4.76,-45.239999999999995,Nil
GauzeRetrieve-v0,-17.94,-18.59,-27.03,-27.75,-15.64,-15.280000000000001,-15.2,-15.440000000000001,-15.77,-16.71,-18.08,-15.279999999999998,-17.27,-18.48,-47.89,-49.45
GauzeRetrieveMem-v0,Nil,-15.839999999999998,Nil,-35.28,Nil,-14.59,Nil,Nil,-14.99,-17.03,Nil,-15.4,Nil,-16.96,-49.2,Nil
MisOrient-v0,-10.450000000000001,-9.940000000000001,-25.310000000000002,-23.58,-9.07,-9.51,-9.52,-8.99,-8.790000000000001,-9.819999999999999,-18.470000000000002,-9.370000000000001,-9.72,-9.55,-41.45,-40.629999999999995
MisOrientMem-v0,Nil,-10.209999999999999,Nil,-24.660000000000004,Nil,-8.36,Nil,Nil,-9.25,-9.870000000000001,Nil,-9.34,Nil,-9.84,-42.7,Nil
NeedlePick-v0,-21.48,-19.339999999999996,-33.089999999999996,-40.480000000000004,-11.49,-11.870000000000001,-10.66,-10.58,-10.98,-10.890000000000002,-14.75,-10.82,-21.71,-19.14,-46.56,-45.11
NeedlePickMem-v0,Nil,-21.130000000000003,Nil,-37.69,Nil,-13.36,Nil,Nil,-11.23,-10.36,Nil,-11.86,Nil,-22.4,-47.120000000000005,Nil
NeedleReach-v0,-5.18,-5.220000000000001,-18.060000000000002,-17.68,-5.290000000000001,-5.460000000000001,-5.17,-5.22,-5.24,-5.12,-7.529999999999999,-5.19,-5.25,-5.2700000000000005,-39.47,-29.4
NeedleReachMem-v0,Nil,-5.24,Nil,-17.64,Nil,-5.34,Nil,Nil,-5.220000000000001,-5.2,Nil,-5.2,Nil,-5.26,-24.73,Nil
NeedleRegrasp-v0,-49.870000000000005,-49.339999999999996,-49.49,-49.71,-41.22,-43.4,-48.809999999999995,-39.61,-47.669999999999995,-47.42,-22.82,-37.58,-49.79,-49.6,-48.62,-48.98
NeedleRegraspMem-v0,Nil,-48.71,Nil,-49.5,Nil,-47.21999999999999,Nil,Nil,-44.209999999999994,-47.970000000000006,Nil,-41.45,Nil,-49.5,-49.28000000000001,Nil
PegTransfer-v0,-46.77,-43.34,-37.58,-43.35,-30.860000000000003,-33.64,-24.7,-26.589999999999996,-36.260000000000005,-29.7,-34.11,-29.99,-38.29,-46.959999999999994,-48.83,-49.29
PegTransferMem-v0,Nil,-48.010000000000005,Nil,-33.839999999999996,Nil,-33.239999999999995,Nil,Nil,-34.06,-28.380000000000003,Nil,-34.239999999999995,Nil,-46.01,-49.4,Nil
StaticTrack-v0,-14.180000000000001,-12.959999999999999,-14.919999999999998,-15.14,-11.27,-11.3,-11.69,-11.180000000000001,-11.249999999999998,-11.7,-14.89,-11.279999999999998,-13.51,-13.029999999999998,-41.28,-39.160000000000004
StaticTrackMem-v0,Nil,-12.739999999999998,Nil,-21.46,Nil,-11.34,Nil,Nil,-11.4,-11.720000000000002,Nil,-11.470000000000002,Nil,-13.41,-39.05,Nil
