Task,AMP,AMPGRU,AWAC,AWACGRU,CoL,CoLGRU,DDPG,DDPGBC,DDPGBCGRU,DDPGGRU,DEX,DEXGRU,SAC,SACGRU,SQIL,SQILGRU
BiPegTransfer-v0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.04,0.0,0.0,0.0,0.0,0.0
BiPegTransferMem-v0,Nil,0.0,Nil,0.02,Nil,0.0,Nil,Nil,0.0,0.0,Nil,0.030000000000000006,Nil,0.0,0.0,Nil
ECMReach-v0,1.0,1.0,0.9800000000000001,0.9400000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19,0.21000000000000002
ECMReachMem-v0,Nil,1.0,Nil,0.97,Nil,1.0,Nil,Nil,1.0,1.0,Nil,1.0,Nil,1.0,0.19000000000000003,Nil
GauzeRetrieve-v0,0.9199999999999999,0.9199999999999999,0.96,0.8300000000000001,0.9099999999999999,0.9200000000000002,0.93,0.9400000000000001,0.9100000000000001,0.9099999999999999,0.9400000000000001,0.9199999999999999,0.9399999999999998,0.93,0.08,0.02
GauzeRetrieveMem-v0,Nil,0.99,Nil,0.78,Nil,0.9199999999999999,Nil,Nil,0.9400000000000001,0.89,Nil,0.9199999999999999,Nil,0.97,0.06999999999999999,Nil
MisOrient-v0,1.0,1.0,0.9099999999999999,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32999999999999996,0.44000000000000006
MisOrientMem-v0,Nil,1.0,Nil,0.9199999999999999,Nil,1.0,Nil,Nil,1.0,1.0,Nil,1.0,Nil,1.0,0.28,Nil
NeedlePick-v0,0.82,0.8699999999999999,0.93,0.5800000000000001,1.0,0.99,1.0,1.0,1.0,0.99,0.99,1.0,0.82,0.9,0.24,0.26
NeedlePickMem-v0,Nil,0.85,Nil,0.75,Nil,0.96,Nil,Nil,1.0,1.0,Nil,0.99,Nil,0.79,0.2,Nil
NeedleReach-v0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38000000000000006,0.74
NeedleReachMem-v0,Nil,1.0,Nil,1.0,Nil,1.0,Nil,Nil,1.0,1.0,Nil,1.0,Nil,1.0,0.89,Nil
NeedleRegrasp-v0,0.01,0.0,0.06000000000000001,0.05,0.21000000000000002,0.13999999999999999,0.02,0.35,0.030000000000000006,0.05,0.67,0.29,0.01,0.0,0.05,0.02
NeedleRegraspMem-v0,Nil,0.06000000000000001,Nil,0.01,Nil,0.06,Nil,Nil,0.09,0.04,Nil,0.22000000000000003,Nil,0.02,0.04,Nil
PegTransfer-v0,0.16,0.33,0.7,0.43000000000000005,0.69,0.6,0.8699999999999999,0.8700000000000001,0.56,0.82,0.7300000000000001,0.76,0.55,0.12000000000000002,0.07,0.05
PegTransferMem-v0,Nil,0.11000000000000001,Nil,0.97,Nil,0.6100000000000001,Nil,Nil,0.5900000000000001,0.82,Nil,0.5799999999999998,Nil,0.18,0.05,Nil
StaticTrack-v0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30999999999999994,0.34
StaticTrackMem-v0,Nil,1.0,Nil,0.99,Nil,1.0,Nil,Nil,1.0,1.0,Nil,1.0,Nil,1.0,0.48,Nil
